feature,period,documents,word_count,global_freq,mean_document_freq,median_document_freq,std_document_freq,q25,q75
el,1910,64,614682,157.87024835606053,154.73938027228243,166.89007042236733,85.56850756181959,110.03249167482507,207.95249015969222
el,1915,91,1192611,203.5030701544762,211.48051662301606,208.42572062084255,71.55407862120646,178.53674545231837,259.267513353362
el,1920,51,649192,209.10608879961552,204.61725987063437,213.17212853961183,70.26767994059864,174.31703733459852,246.4924294821224
el,1925,30,430150,255.77124258979424,244.4707631142351,253.0161313006879,66.41581010959946,210.25631125747086,287.14410080737315
el,1930,37,710781,238.86401015221284,229.6715788234124,229.18061492506567,58.48648633970752,199.0376202974628,270.73996158419465
el,1935,20,263986,201.79100406839757,203.73406234436754,194.770277914863,64.1653790003904,148.3953697390442,254.4513028499257
el,1940,9,107172,227.57809875713806,231.29033053455942,233.56871265616516,22.587906477568794,217.59330958649528,238.6533134455572
el,1945,22,327816,229.824047636479,235.435494873856,238.97116447358414,22.59751609007845,216.00163228272925,249.85453095620937
els,1830,31,203135,10.387180938784553,8.108811411017012,0.0,24.98858517116563,0.0,0.0
els,1835,37,197996,6.262752782884503,4.068171869414887,0.0,17.215149434751833,0.0,0.0
els,1840,41,108120,3.9770625231224566,5.5520789814687515,0.0,19.817460890074933,0.0,0.0
els,1845,26,161876,16.926536361165336,14.68862602356353,0.0,38.88764467561262,0.0,1.4238368435110527
els,1850,16,113386,2.822217910500415,3.3709815142742348,0.0,10.040474606041835,0.0,0.0
els,1855,26,225649,10.325771441486557,12.114468547105018,0.0,23.508351250818656,0.0,7.651347512239923
els,1860,15,85159,12.447304454021301,13.880850733871103,0.0,30.87864212728441,0.0,7.392958597720831
els,1865,41,402467,3.0561511875507805,3.6473632007345116,0.0,13.12814402496603,0.0,0.0
els,1870,31,584039,10.30753083270124,10.994676535404716,0.0,31.933776844650435,0.0,4.740805074490138
els,1875,47,710534,2.688119076638134,5.557184967851836,0.0,13.774301372876439,0.0,0.7883490249523942
els,1880,55,724474,7.370864930970607,3.9415258114162,0.0,14.530071349704276,0.0,0.0
els,1885,51,936311,2.2748851610202165,5.2411887270467865,0.0,13.26838141165223,0.0,0.0
els,1890,50,745568,1.5960985450019314,4.22310390868816,0.0,15.863643574841616,0.0,0.13333807424263971
els,1895,57,547295,18.81983208324578,23.97678401535284,1.529987760097919,38.378036261078385,0.0,30.29697696098016
els,1900,69,1011863,70.96810536604264,66.81319255285996,66.70296760141574,50.936185308503795,24.48479902060804,106.63353780055388
els,1905,71,1010812,77.93734146409025,69.82317227634829,77.54442649434571,48.099308919253836,25.292780477977,101.97871115669156
els,1910,64,614682,92.86102407423675,89.25327430596407,89.02688560673067,53.32018596478534,56.29837968656314,115.68334468658085
els,1915,91,1192611,108.37565643784939,112.37921559173418,111.92724728926198,44.2665225331131,81.91576249665296,143.6451681295173
els,1920,51,649192,117.70015650223664,111.64924330935213,109.41475826972012,52.93122244437775,74.15543904389102,147.5017580083956
els,1925,30,430150,137.53341857491574,129.48716846392435,125.94576871436634,60.19647302523021,99.52823577309933,164.4069337314923
els,1930,37,710781,125.63644779474971,122.35134743872744,117.24748966331956,49.237871143429444,91.39428611295216,148.63258026159335
els,1935,20,263986,121.78676141916617,121.10952613707607,112.9451828924685,41.88412598065022,87.8043115774115,153.42568580666958
els,1940,9,107172,135.1099167693054,139.07621968957812,123.89654638376956,43.859649668404806,111.64755582377792,144.6120354532732
els,1945,22,327816,108.7195255875247,97.17033752513785,91.37546354493223,19.501597109585305,82.21057748930482,106.83843571893198
a_acute,1830,31,203135,546.8776921751545,481.64153337144046,394.9642063687978,408.47731939429315,282.7638781653245,514.5337182540949
a_acute,1835,37,197996,409.95777692478634,400.1854959407896,383.4554071520896,241.1877948952321,282.87061288632793,451.8716577540107
a_acute,1840,41,108120,377.6359600443951,325.5108127697,313.64792314213054,192.87080899008183,258.9514066496164,379.94139968298185
a_acute,1845,26,161876,622.5753045541031,420.5445221889265,358.82287005018,302.4267766529942,265.65474000735753,467.81236547870986
a_acute,1850,16,113386,300.8307903974036,301.3565915723151,304.23544667489807,101.98608298554569,264.48569113068913,343.32789721704967
a_acute,1855,26,225649,373.3674866717779,397.1446436418013,378.10337496455344,167.12228102114966,307.0837759613001,441.6774872692611
a_acute,1860,15,85159,370.4834486078982,404.34234523342883,418.5611125969511,101.83699360784041,327.0451182772697,456.4230343300111
a_acute,1865,41,402467,372.45289675923743,360.3091366010824,359.4856992915245,86.85669582352621,305.7041617452929,411.0448697834954
a_acute,1870,31,584039,405.2640320252586,379.77886519822596,372.3713739506276,89.24436879869029,322.9171867978229,398.138116878396
a_acute,1875,47,710534,402.04972598074124,398.07946975254566,383.67277951491593,87.64710062718743,345.37511553725034,426.30357965023177
a_acute,1880,55,724474,383.9061167136433,371.2528903693835,369.2030616839262,100.47119172704119,316.0854767086729,426.1139472048204
a_acute,1885,51,936311,373.1238872554098,359.0827184913917,352.1140707000693,99.04024967539793,304.2445363390626,413.18067706363485
a_acute,1890,50,745568,415.17339799991413,386.5033928874668,375.1500332728149,128.9672169442916,320.16031563068077,449.01719901719906
a_acute,1895,57,547295,358.4538503001124,330.46759671364384,335.06808298281885,172.24970902376154,251.19617224880383,435.804153403062
a_acute,1900,69,1011863,201.65773429802255,194.2654773787959,195.11395310706672,166.49217067753568,1.468356908619255,343.5916450376962
a_acute,1905,71,1010812,102.40282070256387,136.5314388923617,108.91890209746688,144.6588574687829,3.127105335805978,282.6516046873991
a_acute,1910,64,614682,60.47029195584058,78.13002017872745,5.671758290275285,134.58854154858804,0.21846144883632868,151.07808450674307
a_acute,1915,91,1192611,11.655099609176839,20.49000525646223,0.0,61.78502390350573,0.0,4.364892303910397
a_acute,1920,51,649192,6.238524196231623,12.62092533230144,0.0,47.15024015593292,0.0,2.0074527205935353
a_acute,1925,30,430150,9.531558758572592,15.49038451639625,0.0,42.207794227128076,0.0,0.5642548330184596
a_acute,1930,37,710781,2.082216603989133,5.281457796954082,0.0,20.724888284105308,0.0,0.124599723388614
a_acute,1935,20,263986,0.8333775275961604,5.700434818223437,0.0,16.673807280307702,0.0,0.17039839143918484
a_acute,1940,9,107172,13.716269174784458,11.88925715858764,8.539709649871904,12.246944090062557,6.1948273191884775,10.189970157944536
a_acute,1945,22,327816,2.5624130609854308,3.7829736715747657,2.046018055411227,4.396220060210819,0.0,6.004211110526494
a_grave,1830,31,203135,10.7810077042361,30.296784538629502,0.0,65.70867925150999,0.0,11.774242085492435
a_grave,1835,37,197996,64.95080708701185,27.838362184765526,3.42407122068139,56.329172997117865,0.0,17.452006980802793
a_grave,1840,41,108120,2.219755826859046,1.600427639433557,0.0,5.820809591806771,0.0,0.0
a_grave,1845,26,161876,23.16588005633942,16.464321268999903,0.0,50.94856883712405,0.0,2.6610451811456266
a_grave,1850,16,113386,7.849293563579279,8.954123347493347,0.0,21.550260220187784,0.0,2.6809947596052135
a_grave,1855,26,225649,3.8112289440679996,11.952863412750975,0.7967813514867608,38.3803575876095,0.0,3.435248585721947
a_grave,1860,15,85159,15.148134665742905,17.384120908980567,0.0,64.39801408829219,0.0,1.3035486103151253
a_grave,1865,41,402467,0.6460156981814658,1.5027503025193738,0.0,5.471808643541888,0.0,0.6268413464552122
a_grave,1870,31,584039,0.804740779297273,0.8781573059678729,0.0,1.7559047177941296,0.0,0.7767994807586271
a_grave,1875,47,710534,0.49258726535253766,0.6092604637680029,0.0,1.7414538059529105,0.0,0.2710432568339623
a_grave,1880,55,724474,15.832176171953721,7.11042585845933,0.0,29.708125413179868,0.0,0.3907826235820804
a_grave,1885,51,936311,2.563250885656582,13.888080202667549,0.0,72.81796702991153,0.0,0.37986117859772117
a_grave,1890,50,745568,3.0044207905918707,12.216596893563265,0.0,46.65178260446358,0.0,1.0430195969802778
a_grave,1895,57,547295,21.304780785499595,34.792133295000816,0.4907975460122699,65.45193158707761,0.0,10.141987829614605
a_grave,1900,69,1011863,40.697209009520066,40.7744746029596,2.462649811196848,59.73040919942275,0.0,71.0135571336346
a_grave,1905,71,1010812,106.57768210112266,78.90115246545142,47.45824587021996,83.867921386386,0.1210272795488103,141.62084843684954
a_grave,1910,64,614682,130.9132201691281,111.61359060164295,100.68301530129429,94.80557824484454,52.23832816154953,152.92993765607912
a_grave,1915,91,1192611,165.33471517535892,155.0681323018399,154.86725663716814,83.80228021742066,101.97095291592007,198.16913101897933
a_grave,1920,51,649192,180.6861452390048,183.03205282847287,163.78244746600743,86.27623974326622,134.8216529637741,242.84851836422544
a_grave,1925,30,430150,200.3719632686272,181.6222093471609,171.31083359774198,95.83028844628308,140.12968566381727,224.25660680211942
a_grave,1930,37,710781,182.17988381794112,204.38194317754835,179.91169977924943,89.12938954963477,152.1100328419389,228.8572294634738
a_grave,1935,20,263986,188.57060601698575,165.95403444500545,175.3108991174813,59.8909418618487,137.94985119898942,199.68539911838602
a_grave,1940,9,107172,172.5264061508603,171.52887371394152,178.10128542666874,34.84122586959224,143.94350896252035,196.03665033027917
a_grave,1945,22,327816,195.68904507406594,191.15614479644498,198.53873530302155,26.631336326711534,173.67257263791146,203.26960737410957
cedilla,1830,31,203135,1.033795259310311,3.9935954059446126,0.0,11.887331354340976,0.0,0.0
cedilla,1835,37,197996,0.757591062445706,0.997411810167449,0.0,4.932940810907505,0.0,0.0
cedilla,1840,41,108120,0.0924898261191269,0.07694083249980765,0.0,0.49266170942777954,0.0,0.0
cedilla,1845,26,161876,1.9150460846573922,0.4815848179609388,0.0,2.455610384232856,0.0,0.0
cedilla,1850,16,113386,3.0868008396098285,3.5316015801716283,0.0,13.906138791450353,0.0,0.0
cedilla,1855,26,225649,8.287207122566464,5.986665416033377,0.0,20.068575015154227,0.0,0.0
cedilla,1860,15,85159,4.697096020385397,1.8602316102701446,0.0,5.140140211162448,0.0,0.0
cedilla,1865,41,402467,8.770905440694516,10.426628598380832,0.0,24.748687522351947,0.0,5.631687629059508
cedilla,1870,31,584039,10.564362996306754,14.245716094987568,2.1688355021688355,32.018529203500776,0.0,6.681426935371632
cedilla,1875,47,710534,5.094759715931961,10.868260488763331,1.381788033715628,26.71773988445829,0.0,5.057866597587519
cedilla,1880,55,724474,8.695964244403525,9.23720187162973,0.4338488904314627,21.331928315648216,0.0,6.108189351690701
cedilla,1885,51,936311,7.76451414113473,10.522494148179037,0.0,26.96956324461513,0.0,2.1858147980715685
cedilla,1890,50,745568,18.88493068372033,22.112998853430387,2.300048918843186,38.23796213625052,0.0,28.54578454677791
cedilla,1895,57,547295,24.082076393900913,29.929706701734574,3.239740820734341,45.02680824383663,0.0,53.110773899848255
cedilla,1900,69,1011863,36.299380449724914,40.12518709953604,33.65621408635692,43.80421282660402,0.0,72.99270072992701
cedilla,1905,71,1010812,40.7790964096192,36.83713716362513,20.393029291805707,44.70393371759844,0.1105754345614578,65.70166050400432
cedilla,1910,64,614682,42.41217409977842,37.49253311865309,34.283197218915085,33.310267100231215,5.871099658014891,59.57314112925954
cedilla,1915,91,1192611,67.02101523464063,67.94915331966531,62.75621235892505,34.00759366151166,40.54604009407197,92.71422085720454
cedilla,1920,51,649192,60.52138658517048,60.74309797417684,56.9764497341099,33.45698831339397,38.66015448788387,77.41135000819361
cedilla,1925,30,430150,65.39579216552366,61.35274302907124,61.2760230899714,30.606466144132366,42.39669252696659,70.19189227527204
cedilla,1930,37,710781,63.732710919397114,58.062097297234835,56.11340815121087,40.98740788475281,40.99069066844457,70.94994087504928
cedilla,1935,20,263986,53.37404256286318,50.059421325413155,45.94282412313751,22.856038737423894,35.80808658971846,60.961118786765766
cedilla,1940,9,107172,63.729332288284255,64.39040166145065,61.794161517153206,14.325025499790904,53.12084993359893,66.59439368127613
cedilla,1945,22,327816,64.57891012031139,63.621706138557464,64.27973164979288,19.26345944105098,51.66242829576211,70.93883590038855
ny,1830,31,203135,60.50163684249391,65.07121349181458,57.605760576057605,57.790780380490816,15.280954208468227,94.94297705648984
ny,1835,37,197996,72.22368128649063,60.73518891718311,59.37291527685124,47.81118080441056,20.050125313283207,88.01955990220048
ny,1840,41,108120,65.02034776174621,71.20702111985332,54.7945205479452,71.96617181551056,14.771048744460858,90.09009009009009
ny,1845,26,161876,34.532605203983294,40.08328850906369,25.604391095233233,45.93340080288379,2.627129528511988,66.67667464893687
ny,1850,16,113386,45.68465242622546,35.636102373922014,25.746307052851424,29.738726661961202,10.498232944646295,60.75836313851026
ny,1855,26,225649,71.43838439346064,61.88088568131325,68.24641313382882,49.146228994037486,5.8841483224299544,98.38675441256743
ny,1860,15,85159,104.27553165255581,89.51351733140646,107.14285714285714,70.39411289182475,13.623978201634879,132.09133386600743
ny,1865,41,402467,93.27472811435473,90.45357005147028,91.42053445850914,31.115438354986882,74.67266775777414,102.1430002002804
ny,1870,31,584039,101.77402536474449,92.5475128458444,92.10456263642656,41.66713161659343,67.39764354917534,106.82324175975748
ny,1875,47,710534,94.8160116194299,90.21435236907548,90.28478125150072,40.09725516661353,74.08437309115405,113.94927580328391
ny,1880,55,724474,85.96581795896056,93.72415688512064,99.12959381044486,34.47469377543054,75.88327911824447,116.64950488905444
ny,1885,51,936311,95.78014142736761,97.93678913129212,95.88361712679782,46.16359853737299,71.85029918002512,118.64062585872963
ny,1890,50,745568,102.96847504184728,96.21606046373658,95.18600987017722,41.74151888519659,66.89206593322162,117.04785295400258
ny,1895,57,547295,99.08732950237075,108.7638796478989,101.38512066257316,60.93513576259519,72.75512157763737,133.12693498452012
ny,1900,69,1011863,89.695937098204,93.55549995717604,95.89879616404816,38.001425925630805,71.69293682221705,117.37089201877932
ny,1905,71,1010812,94.96325726247808,92.63934979714641,94.75882006531398,36.685967256952175,65.55338734373345,114.72814513200433
ny,1910,64,614682,84.77554247562155,93.20974174675509,87.56812085279861,47.98026575416402,60.74171178544654,115.13212784409596
ny,1915,91,1192611,97.97830139081394,103.3801975283667,94.8148148148148,74.36043181095006,65.37600964819018,117.75061960412532
ny,1920,51,649192,95.70358229922735,97.106015905557,82.80430582390284,46.62591544172347,68.81517485379524,119.22275183557497
ny,1925,30,430150,100.68580727653145,95.67846141997626,95.47141923554187,51.21585711580331,57.80413412113095,118.12435267165995
ny,1930,37,710781,107.55774282092516,108.77176406880585,97.93497117913704,52.95366191392391,79.97630331753554,128.3230412122805
ny,1935,20,263986,75.1555006704901,76.54484680378057,64.73237438419946,56.40205564140922,46.030495535118156,92.2132546116865
ny,1940,9,107172,139.3087746799537,139.27933876756018,142.65958221122352,38.29066476583565,100.33938320790912,161.54284087674353
ny,1945,22,327816,97.43270615223175,95.82667197298389,95.29195887063659,25.876725709809534,84.30290348510934,99.76365238442136
ss,1830,31,203135,109.6315258325744,99.37069708237317,116.52906776745787,66.2178887709518,35.632165508090466,153.38581015439578
ss,1835,37,197996,126.77023778258146,110.79096380987724,119.11401481953628,63.431814684243626,73.92911502500543,149.37106918238993
ss,1840,41,108120,110.52534221235665,88.81638475087193,95.10543253758586,79.92142998628718,5.899705014749262,135.69937369519835
ss,1845,26,161876,84.3238034050755,59.53505138536101,64.49031346137856,56.97404890635919,0.0,101.81718887815438
ss,1850,16,113386,101.51165046831179,86.08954565025721,80.47114312795662,62.51532637544951,45.335958591879496,120.24130685639075
ss,1855,26,225649,123.24450806340822,106.30450920423148,118.41313055570305,72.39029967814841,52.4989960205907,152.194072186029
ss,1860,15,85159,106.97636186427741,99.56327000775318,120.38523274478332,64.3465765387161,45.523097395602306,144.8599964489671
ss,1865,41,402467,121.20248368189193,117.96611071958017,111.95668081369824,48.73156141217807,90.50609530845956,140.4887744500158
ss,1870,31,584039,136.5833446054116,122.15014275018048,124.64835441300916,47.596451569783525,102.9831657914768,149.40099170306974
ss,1875,47,710534,146.7628572313218,135.53758815968055,138.79318830593562,77.01145477723433,105.61562794463237,160.7757191777833
ss,1880,55,724474,142.32394813340437,147.39446629118595,139.2515230635335,74.7010806718285,111.38899560552142,161.72113341010765
ss,1885,51,936311,150.11037999126358,141.71324611337138,148.89615909734923,82.62020226972868,111.5679192259181,169.02647136874873
ss,1890,50,745568,158.59049744624235,147.39250418782268,147.53443655659913,57.17820244742521,120.85345254519083,173.57199056388137
ss,1895,57,547295,145.97246457577722,145.50673175103213,144.16034092422427,55.81785643720372,115.03697617091208,167.22222222222223
ss,1900,69,1011863,161.9389186085468,154.56390864655705,152.30125523012552,59.04531025845535,120.7697412076974,175.12158122518184
ss,1905,71,1010812,145.74421356295733,154.11697343507868,151.59867695700112,53.12794261402359,123.69723358864057,170.83224432976908
ss,1910,64,614682,151.60684711769662,157.2547612135156,145.82346540934208,63.112492253468176,127.68951488309816,171.32556020430633
ss,1915,91,1192611,146.19184293956704,145.93158117299134,145.38666063246026,39.6468413533705,118.41380687104271,173.16259265983462
